data_hora,sevidor_nm_site_iis,servidor_nm,servidor_ip,requisicao_method,requisicao_recurso,requisicao_query,requisicao_port,requisicao_usuario,cliente_ip,requisicao_protocolo,requisicao_url_origem,servidor_nm_site,requisicao_cod_resposta,requisicao_dados_enviados,requisicao_dados_recebidos,requisicao_tempo_resposta,arquivo,os_family,os_version,device_family,device_model,device_brand,browser_family,browser_version,cliente_pais
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/Content/KeyTable-2.1.1/css/keyTable.bootstrap.css,-,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg,intranet.seduc.se.gov.br,200.0,533.0,973.0,15.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/Content/FixedColumns-3.2.1/css/fixedColumns.bootstrap.min.css,-,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg,intranet.seduc.se.gov.br,200.0,725.0,985.0,31.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/Content/RowReorder-1.1.1/css/rowReorder.bootstrap.min.css,-,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg,intranet.seduc.se.gov.br,200.0,661.0,981.0,15.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/Content/Scroller-1.4.1/css/scroller.bootstrap.min.css,-,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg,intranet.seduc.se.gov.br,200.0,677.0,977.0,0.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/Content/Select-1.1.2/css/select.bootstrap.min.css,-,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg,intranet.seduc.se.gov.br,200.0,1237.0,973.0,0.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/Content/custom.css,-,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg,intranet.seduc.se.gov.br,200.0,2677.0,942.0,0.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/Content/print-relatorio.css,-,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg,intranet.seduc.se.gov.br,200.0,725.0,951.0,15.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/Content/Site.css,-,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg,intranet.seduc.se.gov.br,200.0,2069.0,940.0,15.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/Content/select2/select2-3.5.4-bootstrap.css,-,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg,intranet.seduc.se.gov.br,200.0,997.0,967.0,15.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/Content/Clockpicker-0.0.7/bootstrap-clockpicker.min.css,-,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg,intranet.seduc.se.gov.br,200.0,1509.0,979.0,15.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/Content/bootstrap-datetimepicker.css,-,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg,intranet.seduc.se.gov.br,200.0,2069.0,960.0,15.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/Content/bootstrap-editable.min.css,-,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg,intranet.seduc.se.gov.br,200.0,3733.0,958.0,31.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/Content/select2/select2-3.5.4.css,-,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg,intranet.seduc.se.gov.br,200.0,4949.0,957.0,46.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/Content/color-palette.css,-,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg,intranet.seduc.se.gov.br,200.0,3237.0,949.0,31.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/Scripts/jquery.metisMenu.min.js,-,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg,intranet.seduc.se.gov.br,200.0,869.0,941.0,15.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
